Unnamed: 0,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent,country_encoded,continent_encoded
0,Afghanistan,0.0,0.0,0.0,0.0,Asia,0,1
1,Albania,89.0,132.0,54.0,4.9,Europe,1,2
2,Algeria,25.0,0.0,14.0,0.7,Africa,2,0
3,Andorra,245.0,138.0,312.0,12.4,Europe,3,2
4,Angola,217.0,57.0,45.0,5.9,Africa,4,0
5,Antigua & Barbuda,102.0,128.0,45.0,4.9,North America,5,3
7,Armenia,21.0,179.0,11.0,3.8,Europe,6,2
8,Australia,261.0,72.0,212.0,10.4,Oceania,7,4
9,Austria,279.0,75.0,191.0,9.7,Europe,8,2
10,Azerbaijan,21.0,46.0,5.0,1.3,Europe,9,2
11,Bahamas,122.0,176.0,51.0,6.3,North America,10,3
12,Bahrain,42.0,63.0,7.0,2.0,Asia,11,1
14,Barbados,143.0,173.0,36.0,6.3,North America,12,3
15,Belarus,142.0,373.0,42.0,14.4,Europe,13,2
16,Belgium,295.0,84.0,212.0,10.5,Europe,14,2
17,Belize,263.0,114.0,8.0,6.8,North America,15,3
18,Benin,34.0,4.0,13.0,1.1,Africa,16,0
19,Bhutan,23.0,0.0,0.0,0.4,Asia,17,1
20,Bolivia,167.0,41.0,8.0,3.8,South America,18,5
21,Bosnia-Herzegovina,76.0,173.0,8.0,4.6,Europe,19,2
22,Botswana,173.0,35.0,35.0,5.4,Africa,20,0
23,Brazil,245.0,145.0,16.0,7.2,South America,21,5
24,Brunei,31.0,2.0,1.0,0.6,Asia,22,1
25,Bulgaria,231.0,252.0,94.0,10.3,Europe,23,2
27,Burundi,88.0,0.0,0.0,6.3,Africa,24,0
28,Cote d'Ivoire,37.0,1.0,7.0,4.0,Africa,37,0
29,Cabo Verde,144.0,56.0,16.0,4.0,Africa,25,0
30,Cambodia,57.0,65.0,1.0,2.2,Asia,26,1
31,Cameroon,147.0,1.0,4.0,5.8,Africa,27,0
32,Canada,240.0,122.0,100.0,8.2,North America,28,3
33,Central African Republic,17.0,2.0,1.0,1.8,Africa,29,0
34,Chad,15.0,1.0,1.0,0.4,Africa,30,0
35,Chile,130.0,124.0,172.0,7.6,South America,31,5
36,China,79.0,192.0,8.0,5.0,Asia,32,1
38,Comoros,1.0,3.0,1.0,0.1,Africa,33,0
39,Congo,76.0,1.0,9.0,1.7,Africa,34,0
40,Cook Islands,0.0,254.0,74.0,5.9,Oceania,35,4
41,Costa Rica,149.0,87.0,11.0,4.4,North America,36,3
42,Croatia,230.0,87.0,254.0,10.2,Europe,38,2
43,Cuba,93.0,137.0,5.0,4.2,North America,39,3
44,Cyprus,192.0,154.0,113.0,8.2,Europe,40,2
45,Czech Republic,361.0,170.0,134.0,11.8,Europe,41,2
46,North Korea,0.0,0.0,0.0,0.0,Asia,115,1
47,DR Congo,32.0,3.0,1.0,2.3,Africa,42,0
48,Denmark,224.0,81.0,278.0,10.4,Europe,43,2
49,Djibouti,15.0,44.0,3.0,1.1,Africa,44,0
